provinceName,varietyName,minimumPrice,middlePrice,highestPrice,meteringUnit
上海市,一级豆油(散装),8.0,11.5,15.0,元/公斤
上海市,冬瓜,1.0,1.1,1.2,元/公斤
上海市,南瓜,1.7,2.125,2.6,元/公斤
上海市,土豆,1.45,1.825,2.4000000000000004,元/公斤
上海市,大白菜,2.1,2.4,2.65,元/公斤
上海市,大葱,2.2,2.525,2.8,元/公斤
上海市,大蒜,7.0,8.2,9.0,元/公斤
上海市,大豆,6.6,7.6,8.6,元/公斤
上海市,富士苹果,8.0,12.0,16.0,元/公斤
上海市,巨峰葡萄,8.0,13.5,19.0,元/公斤
上海市,平菇,7.5,8.05,8.8,元/公斤
上海市,油菜,4.4,5.6,7.050000000000001,元/公斤
上海市,洋白菜,4.0,4.5,5.0,元/公斤
上海市,牛肉,60.0,80.27,110.0,元/公斤
上海市,猪肉(白条猪),14.0,16.43,25.6,元/公斤
上海市,玉米,4.0,5.0,6.0,元/公斤
上海市,生姜,6.4,7.1,8.4,元/公斤
上海市,生菜,6.0,6.65,7.3,元/公斤
上海市,白条鸡,17.7,22.2,26.5,元/公斤
上海市,白萝卜,1.2,1.3,1.45,元/公斤
上海市,砂糖橘,6.0,8.0,10.0,元/公斤
上海市,粳米(普通),4.1,4.25,4.4,元/公斤
上海市,红萝卜,2.0,2.5,3.0,元/公斤
上海市,羊肉,46.0,63.5,70.0,元/公斤
上海市,胡萝卜,1.6,1.9,2.2,元/公斤
上海市,芹菜,6.0,6.7,7.5,元/公斤
上海市,茄子,3.4000000000000004,4.45,5.8,元/公斤
上海市,莲藕,6.5,8.0,9.5,元/公斤
上海市,莴笋,3.5,4.2,5.0,元/公斤
上海市,菜花,5.5,6.7,7.85,元/公斤
上海市,菠菜,12.0,14.75,17.5,元/公斤
上海市,葱头,1.05,1.425,1.8,元/公斤
上海市,蒜苗,6.0,7.5,9.0,元/公斤
上海市,蒜薹,5.0,6.2,9.0,元/公斤
上海市,西瓜,2.0,3.5,5.0,元/公斤
上海市,西红柿,3.6,4.6,5.3,元/公斤
上海市,西葫芦,3.5,4.3,5.35,元/公斤
上海市,豆角,5.05,5.8,7.7,元/公斤
上海市,青椒,3.8,4.2,4.6,元/公斤
上海市,面粉,3.3,4.05,4.8,元/公斤
上海市,韭菜,4.0,4.5,5.0,元/公斤
上海市,香菇,10.5,13.0,16.0,元/公斤
上海市,香蕉,6.0,6.8,7.6,元/公斤
上海市,鸭梨,3.0,5.0,7.0,元/公斤
上海市,黄瓜,5.3,6.199999999999999,7.1,元/公斤
云南省,丝瓜,5.0,5.5,6.0,元/公斤
云南省,佛手瓜,2.0,2.375,3.5,元/公斤
云南省,养殖鲶鱼,19.0,19.0,19.0,元/公斤
云南省,冬瓜,2.0,3.625,3.0,元/公斤
云南省,南瓜,2.8,3.875,3.2,元/公斤
云南省,土豆,2.0,2.725,2.8,元/公斤
云南省,大白菜,3.0,3.625,4.0,元/公斤
云南省,大葱,4.0,4.5,5.0,元/公斤
云南省,大蒜,11.0,11.5,13.0,元/公斤
云南省,小白菜,2.0,2.35,3.0,元/公斤
云南省,小葱,,2.5,,元/公斤
云南省,尖椒,6.0,5.5,8.0,元/公斤
云南省,山药,7.0,9.875,8.0,元/公斤
云南省,慈菇,,9.0,,元/公斤
云南省,折耳根(鱼腥草),8.0,7.5,10.0,元/公斤
云南省,木耳,,8.0,,元/公斤
云南省,条形辣椒干（小米椒）,,8.0,,元/公斤
云南省,樱桃西红柿,2.5,3.0,4.0,元/公斤
云南省,毛豆,7.0,6.0,9.0,元/公斤
云南省,油菜,4.0,5.25,5.0,元/公斤
云南省,油麦菜,3.0,3.775,4.5,元/公斤
云南省,泥鳅,23.0,23.0,23.0,元/公斤
云南省,洋白菜,2.0,2.6,3.2,元/公斤
云南省,活草鱼,18.0,18.25,18.5,元/公斤
云南省,活鲤鱼,15.5,15.75,16.0,元/公斤
云南省,活鲫鱼,20.0,20.25,20.5,元/公斤
云南省,淡水鲈鱼,48.0,48.0,48.0,元/公斤
云南省,牛肉,65.0,66.5,68.0,元/公斤
云南省,猪肉(白条猪),19.0,20.0,21.0,元/公斤
云南省,玉米棒,4.0,4.5,5.0,元/公斤
云南省,生姜,10.0,12.0,11.0,元/公斤
云南省,生菜,2.0,5.0625,4.5,元/公斤
云南省,白条鸡,,23.0,,元/公斤
云南省,白萝卜,1.5,1.9875,2.0,元/公斤
云南省,白鲢活鱼,9.0,9.5,10.0,元/公斤
云南省,空心菜,3.0,3.5,5.0,元/公斤
云南省,红萝卜,2.0,2.0,3.0,元/公斤
云南省,绿豆芽,,2.5,,元/公斤
云南省,罗非鱼,13.0,13.0,13.0,元/公斤
云南省,羊肉,60.0,62.0,64.0,元/公斤
云南省,胡萝卜,2.2,3.775,3.0,元/公斤
云南省,芋头,8.0,7.5,10.0,元/公斤
云南省,芥菜,,3.6,,元/公斤
云南省,花鲢活鱼,18.0,18.0,18.0,元/公斤
云南省,芹菜,4.0,5.825,5.0,元/公斤
云南省,苦瓜,5.0,6.875,7.0,元/公斤
云南省,茄子,4.0,4.825,6.0,元/公斤
云南省,茭白,10.0,12.5,15.0,元/公斤
云南省,茴香,4.0,4.625,5.5,元/公斤
云南省,茼蒿,,4.5,,元/公斤
云南省,荷兰豆,9.0,10.0,11.0,元/公斤
云南省,莲藕,7.0,8.375,9.0,元/公斤
云南省,莴笋,,4.75,,元/公斤
云南省,菜花,,6.0,,元/公斤
云南省,菠菜,4.0,11.5,6.0,元/公斤
云南省,蒜苗,,4.0,,元/公斤
云南省,蒜薹,8.0,10.5,12.0,元/公斤
云南省,西兰花,4.0,6.6125,5.5,元/公斤
云南省,西洋芹,3.0,3.5,4.0,元/公斤
云南省,西瓜,2.0,3.0,4.0,元/公斤
云南省,西红柿,3.25,5.1499999999999995,4.5,元/公斤
云南省,西葫芦,3.0,2.9,4.0,元/公斤
云南省,豆角,4.0,6.0,6.0,元/公斤
云南省,豇豆,4.0,5.125,5.5,元/公斤
云南省,豌豆尖,10.0,10.25,12.0,元/公斤
云南省,青椒,6.0,6.375,8.0,元/公斤
云南省,青鱼,22.0,22.0,22.0,元/公斤
云南省,韭菜,3.0,5.1875,4.5,元/公斤
云南省,韭菜花,5.0,5.75,8.0,元/公斤
云南省,韭黄,5.0,7.375,7.5,元/公斤
云南省,香菇,,12.0,,元/公斤
云南省,香菜,5.0,7.75,6.0,元/公斤
云南省,香蕉,4.0,4.5,5.0,元/公斤
云南省,鲜食玉米,1.5,3.0,3.2,元/公斤
云南省,鲟鱼,34.0,34.0,34.0,元/公斤
云南省,鳝鱼,75.0,75.0,75.0,元/公斤
云南省,鸡蛋,,8.5,,元/公斤
云南省,黄瓜,4.0,6.125,5.0,元/公斤
云南省,黄豆芽,2.0,3.375,3.5,元/公斤
云南省,黑鱼,26.0,26.0,26.0,元/公斤
内蒙古自治区,丝瓜,11.6,12.0,13.0,元/公斤
内蒙古自治区,光皮黄瓜,10.4,10.6,12.0,元/公斤
内蒙古自治区,冬瓜,2.1999999999999997,2.2666666666666666,2.466666666666667,元/公斤
内蒙古自治区,南瓜,2.3333333333333335,2.566666666666667,2.733333333333333,元/公斤
内蒙古自治区,土豆,1.6500000000000001,1.8,2.066666666666667,元/公斤
内蒙古自治区,大带鱼,36.0,37.0,38.0,元/公斤
内蒙古自治区,大白菜,1.45,1.6333333333333335,1.7166666666666668,元/公斤
内蒙古自治区,大米,5.1,5.6,5.85,元/公斤
内蒙古自治区,大葱,2.4166666666666665,2.533333333333333,2.6666666666666665,元/公斤
内蒙古自治区,大蒜,9.566666666666668,9.833333333333334,10.666666666666666,元/公斤
内蒙古自治区,大黄花鱼,39.0,41.0,43.0,元/公斤
内蒙古自治区,富士苹果,10.5,13.0,14.1,元/公斤
内蒙古自治区,小白菜,4.8,5.0,6.0,元/公斤
内蒙古自治区,小葱,6.4,6.6,7.6,元/公斤
内蒙古自治区,尖椒,3.2,4.0,4.3,元/公斤
内蒙古自治区,山药,5.0,6.0,11.0,元/公斤
内蒙古自治区,巨峰葡萄,11.5,12.5,13.5,元/公斤
内蒙古自治区,平菇,7.5,8.833333333333334,9.4,元/公斤
内蒙古自治区,心里美萝卜,3.0,3.4,3.6,元/公斤
内蒙古自治区,杏鲍菇,6.0,7.0,8.0,元/公斤
内蒙古自治区,梨,7.0,7.0,7.0,元/公斤
内蒙古自治区,樱桃西红柿,6.0,7.0,8.0,元/公斤
内蒙古自治区,毛豆,6.8,7.0,8.0,元/公斤
内蒙古自治区,油菜,3.6333333333333333,3.8666666666666667,4.033333333333333,元/公斤
内蒙古自治区,油麦菜,5.0,5.4,6.0,元/公斤
内蒙古自治区,洋白菜,1.2999999999999998,1.7000000000000002,1.9,元/公斤
内蒙古自治区,活草鱼,20.5,21.0,21.5,元/公斤
内蒙古自治区,活鲤鱼,16.5,17.0,17.5,元/公斤
内蒙古自治区,活鲫鱼,20.5,21.0,22.0,元/公斤
内蒙古自治区,牛肉,61.0,62.333333333333336,63.666666666666664,元/公斤
内蒙古自治区,猪肉,21.0,22.0,26.0,元/公斤
内蒙古自治区,猪肉(白条猪),21.333333333333332,21.75,24.333333333333332,元/公斤
内蒙古自治区,甘蓝,2.2,2.4,3.0,元/公斤
内蒙古自治区,生姜,10.166666666666666,10.733333333333334,11.166666666666666,元/公斤
内蒙古自治区,生菜,5.1000000000000005,5.533333333333334,5.833333333333333,元/公斤
内蒙古自治区,白条鸡,21.0,21.75,22.0,元/公斤
内蒙古自治区,白萝卜,1.5,1.6333333333333335,1.8333333333333333,元/公斤
内蒙古自治区,红萝卜,8.6,9.0,10.0,元/公斤
内蒙古自治区,羊肉,51.333333333333336,52.666666666666664,54.0,元/公斤
内蒙古自治区,胡萝卜,2.1333333333333333,2.2666666666666666,2.566666666666667,元/公斤
内蒙古自治区,芋头,5.9,6.0,6.5,元/公斤
内蒙古自治区,芦笋,17.0,18.0,20.0,元/公斤
内蒙古自治区,花生油,28.0,29.0,30.0,元/公斤
内蒙古自治区,芹菜,3.966666666666667,4.133333333333334,4.266666666666667,元/公斤
内蒙古自治区,苦瓜,6.8,7.0,8.0,元/公斤
内蒙古自治区,苹果,8.6,8.6,8.6,元/公斤
内蒙古自治区,茄子,2.3666666666666667,2.566666666666667,3.033333333333333,元/公斤
内蒙古自治区,茭白,11.8,12.0,13.0,元/公斤
内蒙古自治区,茴香,6.0,6.0,6.0,元/公斤
内蒙古自治区,茶树菇,10.8,11.0,12.0,元/公斤
内蒙古自治区,茼蒿,6.1000000000000005,6.2,6.7,元/公斤
内蒙古自治区,莲藕,8.866666666666667,8.833333333333334,9.4,元/公斤
内蒙古自治区,莴笋,3.9666666666666663,4.2,4.3999999999999995,元/公斤
内蒙古自治区,菜花,6.166666666666667,6.3999999999999995,6.8999999999999995,元/公斤
内蒙古自治区,菠菜,10.666666666666666,10.933333333333332,11.5,元/公斤
内蒙古自治区,菠萝,6.3,6.5,8.0,元/公斤
内蒙古自治区,葱头,1.5666666666666667,1.6833333333333333,1.8333333333333333,元/公斤
内蒙古自治区,蒜苗,7.4,7.6,9.0,元/公斤
内蒙古自治区,蒜薹,8.85,9.4,10.0,元/公斤
内蒙古自治区,西兰花,7.0,7.0,7.0,元/公斤
内蒙古自治区,西洋芹,3.8,4.0,5.0,元/公斤
内蒙古自治区,西瓜,4.0,4.7,5.4,元/公斤
内蒙古自治区,西红柿,3.533333333333333,3.8333333333333335,4.1000000000000005,元/公斤
内蒙古自治区,西葫芦,3.266666666666667,3.3666666666666667,3.533333333333333,元/公斤
内蒙古自治区,调和油,11.2,12.0,12.6,元/公斤
内蒙古自治区,豆角,6.1000000000000005,7.0,7.3999999999999995,元/公斤
内蒙古自治区,豇豆,6.4,6.6,7.6,元/公斤
内蒙古自治区,金针菇,2.6,3.0,3.6,元/公斤
内蒙古自治区,青椒,4.066666666666666,4.266666666666667,4.5,元/公斤
内蒙古自治区,面粉,4.4,4.6,4.9,元/公斤
内蒙古自治区,韭菜,3.6,3.733333333333333,4.233333333333333,元/公斤
内蒙古自治区,香菇,11.5,12.75,13.5,元/公斤
内蒙古自治区,香菜,10.0,10.0,10.0,元/公斤
内蒙古自治区,香蕉,6.8,7.133333333333333,7.333333333333333,元/公斤
内蒙古自治区,鸡蛋,7.666666666666667,7.766666666666667,8.466666666666667,元/公斤
内蒙古自治区,鸭梨,5.8,6.0,6.6,元/公斤
内蒙古自治区,黄瓜,3.8000000000000003,4.0,4.3,元/公斤
北京市,一级豆油(散装),8.96,9.05,9.14,元/公斤
北京市,丝瓜,5.666666666666667,6.833333333333333,8.333333333333334,元/公斤
北京市,人参果,18.0,18.5,19.0,元/公斤
北京市,冬枣,29.0,32.0,33.0,元/公斤
北京市,冬瓜,1.175,1.475,1.7249999999999999,元/公斤
北京市,冬笋,12.4,12.6,13.0,元/公斤
北京市,南瓜,2.066666666666667,2.2666666666666666,3.1666666666666665,元/公斤
北京市,哈密瓜,4.0,4.2,6.0,元/公斤
北京市,国光苹果,6.0,7.0,8.0,元/公斤
北京市,圆茄子,2.2,2.4,2.6,元/公斤
北京市,土豆,1.625,2.025,2.525,元/公斤
北京市,大带鱼,40.0,46.0,52.0,元/公斤
北京市,大白菜,1.1,1.3,1.5999999999999999,元/公斤
北京市,大米,5.3,5.4,5.5,元/公斤
北京市,大葱,2.2,2.425,2.65,元/公斤
北京市,大蒜,7.15,8.725,9.85,元/公斤
北京市,大黄花鱼,43.0,44.0,45.0,元/公斤
北京市,富士苹果,8.1,9.55,10.8,元/公斤
北京市,小白菜,4.333333333333333,4.8,5.333333333333333,元/公斤
北京市,小葱,4.5,5.6,6.3,元/公斤
北京市,尖椒,3.3333333333333335,4.8999999999999995,6.533333333333334,元/公斤
北京市,山楂,16.0,17.0,18.0,元/公斤
北京市,山药,7.0,7.766666666666667,8.533333333333333,元/公斤
北京市,巨峰葡萄,8.0,10.0,12.0,元/公斤
北京市,平菇,6.5,7.375,8.25,元/公斤
北京市,心里美萝卜,2.0,2.2,2.4,元/公斤
北京市,木瓜,13.0,13.7,14.5,元/公斤
北京市,杏鲍菇,5.5,6.5,7.5,元/公斤
北京市,杨桃,22.0,23.0,24.5,元/公斤
北京市,柚子,7.0,8.0,9.0,元/公斤
北京市,柠檬,10.0,12.0,14.0,元/公斤
北京市,桂鱼,66.0,68.0,70.0,元/公斤
北京市,梨,3.2,3.6,4.0,元/公斤
北京市,椰子,10.0,10.5,11.0,元/公斤
北京市,榴莲,47.0,48.0,49.0,元/公斤
北京市,樱桃,50.0,51.0,52.0,元/公斤
北京市,橘、柑,10.0,11.0,12.0,元/公斤
北京市,毛豆,10.1,11.1,12.1,元/公斤
北京市,油菜,3.6,4.233333333333333,5.133333333333334,元/公斤
北京市,油麦菜,7.6000000000000005,8.0,8.4,元/公斤
北京市,洋白菜,1.5999999999999999,1.8333333333333333,2.1666666666666665,元/公斤
北京市,活草鱼,18.25,19.75,21.3,元/公斤
北京市,活鲤鱼,13.3,14.1,14.9,元/公斤
北京市,活鲫鱼,23.75,28.5,30.75,元/公斤
北京市,牛肉,56.475,57.2875,58.1,元/公斤
北京市,特小凤西瓜,5.6,5.8,6.0,元/公斤
北京市,猕猴桃,11.8,14.15,17.5,元/公斤
北京市,猪前腿肌肉,15.0,16.0,17.0,元/公斤
北京市,猪后腿肌肉,15.0,16.0,17.0,元/公斤
北京市,猪大排肌肉,19.0,21.0,23.0,元/公斤
北京市,猪心,13.0,13.0,13.0,元/公斤
北京市,猪肉(白条猪),16.166666666666668,16.866666666666664,17.533333333333335,元/公斤
北京市,猪肚,36.0,36.0,36.0,元/公斤
北京市,猪肝,9.0,9.5,10.0,元/公斤
北京市,猪肺,4.0,4.5,5.0,元/公斤
北京市,玉米,2.7,2.8,2.9,元/公斤
北京市,甜橙,10.0,10.5,11.0,元/公斤
北京市,生姜,7.25,8.8,10.5,元/公斤
北京市,生菜,3.025,3.75,4.65,元/公斤
北京市,白条鸡,12.5925,14.4175,16.2425,元/公斤
北京市,白梨,5.4,5.6,6.3,元/公斤
北京市,白萝卜,1.1,1.275,1.5,元/公斤
北京市,白鲢活鱼,7.666666666666667,8.133333333333333,8.666666666666666,元/公斤
北京市,空心菜,6.0,6.5,7.0,元/公斤
北京市,红小豆,12.0,13.0,14.0,元/公斤
北京市,红毛丹,59.0,62.0,65.0,元/公斤
北京市,绿豆,12.0,12.5,13.0,元/公斤
北京市,绿豆芽,1.7666666666666666,1.9000000000000001,2.066666666666667,元/公斤
北京市,网纹瓜,5.800000000000001,8.1,10.0,元/公斤
北京市,羊肉,46.75,46.925,47.15,元/公斤
北京市,肥膘,8.0,8.5,9.0,元/公斤
北京市,胡萝卜,1.525,1.8625,2.175,元/公斤
北京市,脐橙,9.0,10.0,11.5,元/公斤
北京市,色拉油,9.0,9.8,10.0,元/公斤
北京市,芋头,7.0,7.4,8.0,元/公斤
北京市,芒果,11.34,11.34,11.34,元/公斤
北京市,芒果(台农一号),8.0,10.0,12.0,元/公斤
北京市,花生油,25.93,26.35,26.759999999999998,元/公斤
北京市,花鲢活鱼,16.5,17.2,18.0,元/公斤
北京市,芹菜,3.15,3.875,4.5,元/公斤
北京市,苋菜,6.0,7.0,8.0,元/公斤
北京市,苦瓜,4.25,4.55,4.85,元/公斤
北京市,茄子,3.1,3.9,4.9,元/公斤
北京市,茴香,5.5,6.0,7.0,元/公斤
北京市,茼蒿,14.0,15.0,16.0,元/公斤
北京市,荔枝,16.0,17.0,18.0,元/公斤
北京市,荷兰豆,12.666666666666666,13.666666666666666,14.666666666666666,元/公斤
北京市,莲藕,5.666666666666667,6.966666666666666,8.333333333333334,元/公斤
北京市,莴笋,2.1,2.775,3.4,元/公斤
北京市,菜花,5.050000000000001,5.4,5.75,元/公斤
北京市,菠菜,6.5,7.166666666666667,7.833333333333333,元/公斤
北京市,菠萝,6.2,6.45,6.8,元/公斤
北京市,葱头,1.3,1.5,1.75,元/公斤
北京市,蒜苗,4.0,6.3,9.5,元/公斤
北京市,蒜薹,6.0,7.0,9.0,元/公斤
北京市,蛇果,15.0,19.0,23.0,元/公斤
北京市,蜜桔,9.0,11.1,12.1,元/公斤
北京市,西兰花,4.0,4.75,5.5,元/公斤
北京市,西瓜,2.45,2.55,2.6500000000000004,元/公斤
北京市,西红柿,3.45,4.0,4.6,元/公斤
北京市,西葫芦,3.0666666666666664,4.233333333333333,5.533333333333334,元/公斤
北京市,豆角,6.666666666666667,8.0,9.666666666666666,元/公斤
北京市,豇豆,3.8666666666666667,4.866666666666666,5.666666666666667,元/公斤
北京市,豌豆,7.0,7.8,8.0,元/公斤
北京市,豌豆苗,12.5,12.7,13.0,元/公斤
北京市,酥梨,6.2,6.3,7.1,元/公斤
北京市,金针菇,4.85,5.85,6.6,元/公斤
北京市,长茄子,2.0,2.8,3.6,元/公斤
北京市,青椒,4.975,6.15,7.175,元/公斤
北京市,青萝卜,1.0,1.4,2.0,元/公斤
北京市,面粉,3.02,3.06,3.1,元/公斤
北京市,韭菜,4.5,5.25,6.0,元/公斤
北京市,韭黄,16.0,17.0,18.0,元/公斤
北京市,香梨,8.0,9.5,11.0,元/公斤
北京市,香菇,7.1000000000000005,8.9,10.700000000000001,元/公斤
北京市,香菜,6.5,7.75,8.5,元/公斤
北京市,香蕉,4.833333333333333,5.433333333333334,6.1000000000000005,元/公斤
北京市,鲈鱼,30.0,31.0,32.0,元/公斤
北京市,鲶鱼,8.0,9.0,10.0,元/公斤
北京市,鸡腿菇,26.0,28.0,30.0,元/公斤
北京市,鸡蛋,6.779999999999999,6.8625,6.9425,元/公斤
北京市,鸭梨,4.366666666666666,4.966666666666667,5.733333333333333,元/公斤
北京市,鸭蛋,11.0,11.75,12.5,元/公斤
北京市,鹌鹑蛋,11.0,11.0,11.0,元/公斤
北京市,麒麟西瓜,3.0,3.5,4.0,元/公斤
北京市,黄元帅苹果,7.0,8.0,9.0,元/公斤
北京市,黄瓜,4.6,5.375,6.25,元/公斤
北京市,黄豆芽,1.7999999999999998,1.875,2.0,元/公斤
北京市,黄香蕉苹果,10.0,11.0,12.0,元/公斤
北京市,黑木耳,7.0,7.2,7.4,元/公斤
北京市,黑鱼,21.0,22.0,23.0,元/公斤
吉林省,S33(油葵),,6.0,6.0,元/公斤
吉林省,冬瓜,2.2,2.3,3.8,元/公斤
吉林省,南瓜,4.0,4.5,5.0,元/公斤
吉林省,土豆,1.5,1.8666666666666665,2.2,元/公斤
吉林省,大白菜,1.2,1.5666666666666667,1.9,元/公斤
吉林省,大葱,2.5,2.8000000000000003,3.2,元/公斤
吉林省,大蒜,12.0,10.5,13.0,元/公斤
吉林省,大豆,,3.6,4.0,元/公斤
吉林省,富士苹果,,8.8,,元/公斤
吉林省,尖椒,2.0,2.3,2.8,元/公斤
吉林省,巨峰葡萄,,10.0,,元/公斤
吉林省,平菇,8.0,8.2,9.0,元/公斤
吉林省,油菜,2.0,4.5,3.0,元/公斤
吉林省,洋白菜,4.0,3.2,5.0,元/公斤
吉林省,猪肉,,20.0,,元/公斤
吉林省,玉米,,1.8,1.84,元/公斤
吉林省,生姜,10.0,10.0,11.0,元/公斤
吉林省,生菜,4.0,5.3,5.0,元/公斤
吉林省,白萝卜,2.1,2.1333333333333333,2.9,元/公斤
吉林省,空心菜,1.0,1.8,2.4,元/公斤
吉林省,红小豆,,14.0,14.0,元/公斤
吉林省,绿豆,,11.8,12.0,元/公斤
吉林省,胡萝卜,2.0,2.0,3.0,元/公斤
吉林省,芝麻(白芝麻),,12.0,12.0,元/公斤
吉林省,花生,,8.2,8.4,元/公斤
吉林省,花生仁,,8.4,8.6,元/公斤
吉林省,芸豆(英国红),,10.8,11.0,元/公斤
吉林省,芹菜,2.4,2.9333333333333336,3.2,元/公斤
吉林省,茄子,2.1,2.0,2.95,元/公斤
吉林省,莲藕,,8.0,,元/公斤
吉林省,莴笋,,6.0,,元/公斤
吉林省,菜花,4.1,4.266666666666667,5.0,元/公斤
吉林省,菠菜,5.7,7.2,7.0,元/公斤
吉林省,菠萝,,7.6,,元/公斤
吉林省,葱头,2.6,3.466666666666667,3.3,元/公斤
吉林省,蒜薹,10.0,9.0,11.0,元/公斤
吉林省,西瓜,,1.4,,元/公斤
吉林省,西红柿,2.5,3.1333333333333333,3.5,元/公斤
吉林省,西葫芦,3.0,2.8,4.0,元/公斤
吉林省,豆角,5.5,5.266666666666667,7.5,元/公斤
吉林省,青椒,2.7,2.9333333333333336,3.7,元/公斤
吉林省,韭菜,3.2,3.9333333333333336,4.5,元/公斤
吉林省,香菇,9.0,10.0,10.0,元/公斤
吉林省,香菜,7.0,8.1,9.0,元/公斤
吉林省,香蕉,,5.8,,元/公斤
吉林省,鸡蛋,7.0,7.5,8.0,元/公斤
吉林省,鸭梨,,5.6,,元/公斤
吉林省,黄瓜,2.0,2.3666666666666667,2.7,元/公斤
四川省,丝瓜,4.2,5.45,6.7,元/公斤
四川省,仔猪,22.0,26.0,30.0,元/公斤
四川省,冬瓜,1.45,1.85,2.35,元/公斤
四川省,南瓜,1.5,2.375,2.4,元/公斤
四川省,土豆,1.85,2.675,2.85,元/公斤
四川省,大带鱼,,49.2,,元/公斤
四川省,大白菜,1.5,2.1750000000000003,2.25,元/公斤
四川省,大葱,3.4499999999999997,4.9375,4.699999999999999,元/公斤
四川省,大蒜,7.35,10.55,9.6,元/公斤
四川省,大黄花鱼,,49.0,,元/公斤
四川省,富士苹果,,15.0,,元/公斤
四川省,小白菜,4.0,5.0,6.0,元/公斤
四川省,小葱,3.6,4.8,6.0,元/公斤
四川省,尖椒,3.5,4.35,5.2,元/公斤
四川省,山母羊,28.0,30.0,32.0,元/公斤
四川省,山羯羊,38.0,42.0,46.0,元/公斤
四川省,山药,6.4,7.800000000000001,9.2,元/公斤
四川省,巨峰葡萄,,9.6,,元/公斤
四川省,平菇,6.0,8.6,11.0,元/公斤
四川省,水牛,24.0,26.0,30.0,元/公斤
四川省,油菜,2.0,3.9333333333333336,4.0,元/公斤
四川省,油麦菜,3.8,4.9,6.0,元/公斤
四川省,洋白菜,1.5499999999999998,2.15,2.35,元/公斤
四川省,活草鱼,18.0,18.900000000000002,19.5,元/公斤
四川省,活鲤鱼,16.0,18.0,16.0,元/公斤
四川省,活鲫鱼,21.0,20.733333333333334,23.0,元/公斤
四川省,活鸡,24.0,36.0,50.0,元/公斤
四川省,牛肉,64.0,76.0,64.0,元/公斤
四川省,猪肉,,20.2,,元/公斤
四川省,猪肉(白条猪),18.39,18.689999999999998,19.689999999999998,元/公斤
四川省,玉米棒,3.4,4.050000000000001,4.7,元/公斤
四川省,生姜,7.65,9.7875,10.3,元/公斤
四川省,生菜,5.35,6.3875,6.6,元/公斤
四川省,白条鸡,16.0,17.7,16.0,元/公斤
四川省,白萝卜,1.2,1.675,1.6,元/公斤
四川省,白鲢活鱼,13.6,12.399999999999999,13.6,元/公斤
四川省,红椒,6.0,8.0,10.0,元/公斤
四川省,红萝卜,2.8,3.2,3.6,元/公斤
四川省,绵羊,30.0,34.0,42.0,元/公斤
四川省,绿豆芽,2.2,2.3,2.4,元/公斤
四川省,羊肉,52.0,70.0,52.0,元/公斤
四川省,胡萝卜,2.7,3.8,4.15,元/公斤
四川省,良薯,3.6,4.8,6.0,元/公斤
四川省,芋头,7.8,8.4,9.0,元/公斤
四川省,花生,5.0,6.0,7.0,元/公斤
四川省,花鲢活鱼,23.0,23.1,23.0,元/公斤
四川省,芹菜,3.7,5.025,5.2,元/公斤
四川省,苦瓜,4.3,5.45,6.6,元/公斤
四川省,茄子,3.05,3.9000000000000004,4.6,元/公斤
四川省,莲藕,5.3,6.525,6.5,元/公斤
四川省,莴笋,2.55,3.875,4.0,元/公斤
四川省,菜花,5.85,6.35,7.949999999999999,元/公斤
四川省,菠菜,10.0,12.025,13.5,元/公斤
四川省,菠萝,,6.2,,元/公斤
